Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type
Volga Infotech,4,(13 reviews),0,"IT Services & Consulting, BPO / Call Centre, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.volgainfotech.com,Corporate
VMR Vision,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),02-Oct,,http://www.vmrvision.com/,Corporate
Vasan Eye Care,4,(256 reviews),384 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,2002 (22 yrs old),5001-10000,,,Corporate
Hungama,,,1.5K followers ,"Film / Music / Entertainment, Media & Entertainment / Publishing, Corporate, B2C, B2B",,1999 (25 yrs old),501-1000,,,Corporate
Mirza International,3.9,(242 reviews),0,"Textile & Apparel, Retail, Public, Corporate, B2C",Public,1979 (45 yrs old),5001-10000,,http://www.mirza.co.in,Corporate
Copart India,4.1,(94 reviews),0,"Automobile, IT Services & Consulting, Corporate, B2B",,1982 (42 yrs old),,,http://www.copart.com,Corporate
Vedams Software Solutions,4.7,(9 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),Nov-50,,https://www.vedams.com,Corporate
InSemi Technology Services,4.1,(51 reviews),174 followers ,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2013 (11 yrs old),1001-5000,"Bangalore / Bengaluru, Karnataka",https://www.insemitech.com/,Corporate
Acme Infolabs,5,(58 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,2016 (8 yrs old),51-200,,https://www.acmeinfolabs.com,Corporate
Actis Technologies,4.1,(106 reviews),0,"IT Services & Consulting, Telecom / ISP, Private, Corporate, B2B",Private,1971 (53 yrs old),201-500,,https://www.actis.co.in/,Corporate
Aimil,,,0,"Pharmaceutical & Life Sciences, Engineering & Construction, Private, Corporate, B2B",Private,1932 (92 yrs old),501-1000,,https://www.aimil.com/,Corporate
Saraswati Online.Com,4.4,(10 reviews),0,"e-Learning / EdTech, Private, Corporate, B2C",Private,2000 (24 yrs old),51-200,,,Corporate
Cargo Motors,3.8,(202 reviews),0,"Automobile, Retail, Private, Corporate, B2B",Private,1959 (65 yrs old),1001-5000,,http://www.cargomotors.com/,Corporate
HyTech Professionals,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,,https://www.hytechpro.com/,Corporate
Dynakode Technology,4.4,(8 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://dynakode.com/,Corporate
Rance Computer,,,0,"Software Product, Internet, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,,Corporate
Fortis,4.1,(1.9K reviews),62.8K followers ,"Medical Services / Hospital, Public, Corporate, B2C",Public,1996 (28 yrs old),10001-50000,,http://www.fortishealthcare.com/,Corporate
Dhii Health Tech,4.7,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,http://www.dhii.in/,Corporate
K Raheja Corp,4.3,(521 reviews),20K followers ,"Real Estate, Private, Corporate, B2C, B2B",Private,1956 (68 yrs old),1001-5000,"Mumbai, India",https://www.krahejacorp.com/,Corporate
Trimurti Corns Agro Foods,,,0,"Agriculture / Forestry / Fishing, Food Processing, Corporate, B2B",,2007 (17 yrs old),,,http://www.trimurticorns.com,Corporate
Radiant Cash Management Services,,,0,"Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),5001-10000,,,Corporate
Jasch Industries,4.6,(12 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1985 (39 yrs old),201-500,,http://www.jaschindustries.com,Corporate
EbixCash Financial Technologies (ECFT),3.9,(42 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1990 (34 yrs old),501-1000,,http://www.indussoft.com,Corporate
Kalpataru Group,3.9,(681 reviews),14.7K followers ,"Real Estate, Private, Corporate, B2C, B2B, Conglomerate",Private,1969 (55 yrs old),1001-5000,,,Corporate
Weavers Web,4.4,(31 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,http://www.weavers-web.com,Corporate
Strategic Learning Solutions,4.4,(117 reviews),0,"BPO / Call Centre, Education / Training, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,https://www.sls-india.com/,Corporate
Caprus IT,4.1,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,"Hyderabad / Secunderabad, Telangana",http://www.caprusit.com,Corporate
