Job Title,URL,Company Name,Work Mode,Experience Required,Salary,Location,Post Rating,No. of Reviews,Post Age,Job Openings,No. of Applicants,Role Name,Industry Type,Department,Employment Type,Role Category,UG Requirements,PG Requirements,Skills Required
Research Analyst,https://www.naukri.com/job-listings-research-analyst-m-s-mlm-india-ltd-noida-0-to-3-years-190624007887,M/s. Mlm India Ltd.,Work From Office,0 - 3 years,Not Disclosed,Noida( Sector-2 Noida ),,,3 days ago,2,209,Financial Analyst,Investment Banking / Venture Capital / Private Equity,Finance & Accounting,"Full Time, Permanent",Finance,"PG: MBA/PGDM in Finance, M.Com in Commerce",,"Financial Research, investment portfolio, fund management, market research, competitive analysis"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-crisil-limited-pune-1-to-3-years-200624004336,Crisil,Work From Office,1 - 3 years,Not Disclosed,Pune,3.7,1400 Reviews,3 days ago,,479,Equity Research Analyst,Financial Services,BFSI Investments & Trading,"Full Time, Permanent","Trading, Asset & Wealth Management",Any Graduate,,"financial analysis, pharmaceutical, production, payments, investment banking, research analysis, business analysis, banking operations, market research, gmp, monitoring, analysis, iphone, research, excel, secondary research, kyc, loan operations, intermediate, investigation, api, swift, iti"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-crisil-pune-1-to-3-years-210624502896,Crisil,Work From Office,1 - 3 years,Not Disclosed,Pune,3.7,1400 Reviews,1 day ago,1,15,Equity Research Analyst,Banking,BFSI Investments & Trading,"Full Time, Permanent","Trading, Asset & Wealth Management",Any Graduate,Any Postgraduate,"Loan operations, Excel, Banking, Flexcube, Foreign currency, Cash flow, Swift, MIPS, Research Analyst, Monitoring"
Research Analyst-Forex,https://www.naukri.com/job-listings-research-analyst-forex-state-bank-of-india-sbi-mumbai-2-to-4-years-200624904848,State Bank of India (SBI),Work From Office,2 - 4 years,Not Disclosed,Mumbai,3.8,3397 Reviews,3 days ago,1,58,Market Research Executive,Banking,Marketing & Communication,"Full Time, Permanent",Market Research & Insights,Any Graduate,"ICWA (CMA) in Any Specialization, CA in CA, MBA/PGDM in Finance","Research Analysis, Forex, Mutual Funds, Report Preparation, Commodity Marketing, macro-economic research, Fixed Income Analysis"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-rmoney-agra-0-to-1-years-130624006581,RMoney,Work From Office,0 - 1 years,Not Disclosed,Agra,,,10 days ago,2,231,Research Analyst,Financial Services (Broking),BFSI Investments & Trading,"Full Time, Permanent","Trading, Asset & Wealth Management",PG: MBA/PGDM in Finance,,"NISM, Share Market, MBA FINANCE, Financial Markets, Research, Stock Trading, Stock Market, Derivatives, Equity Research, Trend Analysis, Market Research, CFA"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-india-sme-forum-research-and-development-group-mumbai-new-delhi-0-to-2-years-080624006273,India Sme Forum Research And Development Group,Work From Office,0 - 2 years,2.5-3 Lacs P.A. ,"Mumbai( Andheri West ), New Delhi( Kalkaji Extension )",2.2,5 Reviews,14 days ago,2,1395,Research & Development - Other,NGO / Social Services / Industry Associations,Research & Development,"Full Time, Permanent",Research & Development - Other,Any Graduate,Any Postgraduate,"Research And Development, Analytical Method Development, Rnd, Analytical Research, Stability Studies"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-biophore-india-pharmaceuticals-pvt-ltd-hyderabad-3-to-6-years-200624906326,Biophore,Work From Office,3 - 6 years,2.5-6 Lacs P.A. ,Hyderabad,3.2,148 Reviews,2 days ago,1,68,Research & Development - Other,Pharmaceutical & Life Sciences,Research & Development,"Full Time, Permanent",Research & Development - Other,"PG: MS/M.Sc(Science) in Organic Chemistry, Chemistry",,"preparative HPLC, Development, HPLC"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-goodwill-wealth-management-pvt-ltd-kochi-hyderabad-thrissur-0-to-3-years-181120500191,Goodwill Wealth Management Pvt Ltd,Work From Office,0 - 3 years,Not Disclosed,"Kochi, Hyderabad, Thrissur",3.6,66 Reviews,30+ days ago,1,2624,Financial Analyst,Banking,Finance & Accounting,"Full Time, Permanent",Finance,Any Graduate,Post Graduation Not Required,"NSE, Wealth management, ISO 9001, Cdsl, Mutual funds, business rules, Customer support, Stock market, Research Analyst, SEBI"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-strategic-foresight-group-mumbai-1-to-4-years-180624500240,Strategic Foresight,Work From Office,1 - 4 years,Not Disclosed,Mumbai,,,5 days ago,1,96,Research & Development - Other,Banking,Research & Development,"Full Time, Permanent",Research & Development - Other,Any Graduate,Any Postgraduate,"mandarin, spanish, business research, industry research, research analysis, market research, analysis, research, report writing, primary research, secondary research, writing, qualitative research, quantitative research, company profiling, communication skills"
Research Analyst,https://www.naukri.com/job-listings-research-analyst-supply-wisdom-services-bengaluru-1-to-6-years-170624001349,Supply Wisdom Services,Work From Office,1 - 6 years,Not Disclosed,Bengaluru,4.3,10 Reviews,6 days ago,4,203,Other Consulting - Other,Analytics / KPO / Research,Consulting,"Full Time, Permanent",Other Consulting,Any Graduate,,"Financial Analysis, Secondary Research, Company Profiling, Report Writing, Financial Research, Industry Research, Qualitative Research, Swot Analysis"
