Index,Page Number,Company Name,Job Description,Skills Required,Location,Experience,Job Posted,More Info,Applicants,Specialization,Qualification,Employment Type,Company Website,Company Industry,Salary Range,Job Type
0,1,Vitrana,## ### Responsibilities:- Study and transform data science prototypes- Research and implement appropriate ML algorithms and tools- Run machine learning tests and experiments- ...,"algorithms, python, machinelearning","Noida/Greater Noida,  Bengaluru / Bangalore",2 - 4 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-vitrana-noida-greater-noida-bengaluru-bangalore-2-to-4-yrs-jobid-Oz8RLlCNBd9zpSvf__PLUS__uAgZw==&source=srp,14,Software Engineer,Any Graduate,Full Time,http://www.vitrana.com,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
1,1,Cotocus,Autodesk is seeking a Machine Learning Engineer / Data Scientist to join our Sales Data Science team. We build innovative data products and machine learning solutions for Auto...,"machinelearning, docker, datascience",Bengaluru / Bangalore,0 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-UuakCaarcmNzpSvf__PLUS__uAgZw==&source=srp,48,Software Engineer,Any Graduate,Full Time,http://www.cotocus.com,IT-Software,2-4 Lakhs,regular
2,1,Headhuntersinc consultancy Private Limited,"Required skills:*Proven experience as a Machine Learning Engineer or similar role*Understanding of data structures  ,  data modeling and software architecture*Deep knowledge o...","algorithms, python, java, datastructures, machinelearning",Gurgaon,3 - 6 yrs,Posted 6 days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-headhuntersinc-consultancy-private-limited-gurgaon-3-to-6-yrs-jobid-jhrKFlI__SLASH__fIZzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.headhuntersinc.in/,Consulting Services,2-4 Lakhs,regular
3,1,Triveni Engineering & Industries Ltd,"Experience Required: 1-3 yearsQualification: MSc.it ,  MCA ,  BE ,  or EquivalentSkills:Understanding of data structures ,  data modelling and software architecture.deep knowl...","algorithms, python, django, datastructures, machinelearning, docker","Ahmedabad,  Surat",1 - 3 yrs,Posted 6 days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-triveni-engineering-industries-ltd-ahmedabad-surat-1-to-3-yrs-jobid-4hQ__SLASH__wojGtLhzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,http://www.trivenigroup.com ,"Automobiles/Auto Component/Auto Ancillary,  Manufacturing/Industrial",2-4 Lakhs,regular
4,1,cloudxlab,CloudxLab is looking for Machine Learning Engineers who have good understanding of Machine Learning using Python.the primary responsibilities of a Machine learning Engineers a...,"python, machinelearning, sql, apache, linux, bigdata, forms",Bengaluru / Bangalore,0 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-cloudxlab-bengaluru-bangalore-0-to-3-yrs-jobid-fT__PLUS__Nn48VrvpzpSvf__PLUS__uAgZw==&source=srp,61,Software Engineer,Any Graduate,Full Time,http://www.cloudxlab.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
5,1,Analytics Vidhya,"Machine Learning EngineerMachine Learning Engineer Yugen.aiBangalore  ( Karnataka )  ,  Indore  ( MP )  INR 7 - 10 LPA Experience : 2 - 5 YRS. Openings: 2Details:About Yugen F...","algorithms, python, storage, machinelearning, database, infrastructure, cloudcomputing","Indore,  Bengaluru / Bangalore",5 - 7 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-indore-bengaluru-bangalore-5-to-7-yrs-jobid-7I__PLUS__bw__PLUS__wM__PLUS__hpzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
6,1,Ideapoke,"Our growth is powered by our people and their unwavering commitment to the company-wide vision ,  strong work ethic and an entrepreneurial do-it-all spirit. We push the bounda...","algorithms, artificialintelligence, rest, python, machinelearning, openstack, opencv, soap",Bengaluru / Bangalore,2 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-ideapoke-bengaluru-bangalore-2-to-5-yrs-jobid-Yg29r8458yNzpSvf__PLUS__uAgZw==&source=srp,6,Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BE/ B.Tech (Engineering)",Full Time,https://www.ideapoke.com/,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
7,1,Analytics Vidhya,"Responsibilities and DutiesYou will be working with large data sets ,  rapidly prototyping and building data models regularly. Once the model is built ,  you will ensure that ...","hive, c, python, machinelearning, sql, java, hbase",Bengaluru / Bangalore,1 - 2 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-bengaluru-bangalore-1-to-2-yrs-jobid-HSSEkJXnRjFzpSvf__PLUS__uAgZw==&source=srp,25,Software Engineer,BE/ B.Tech (Engineering),Full Time,http://www.analyticsvidhya.com,"Educational/Training,  Research/Surveyor/MR",2-4 Lakhs,regular
8,1,aitouch llp,"5  Years of Work ExperienceUnderstanding business objectives and developing models that help to achieve them ,  along with metrics to track their progressManaging available re...","algorithms, python, machinelearning, linux, webdevelopment, opencv",Gurgaon,5 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-aitouch-llp-gurgaon-5-to-8-yrs-jobid-X1x78BrYOhdzpSvf__PLUS__uAgZw==&source=srp,N/A,Software Engineer,Any Graduate,Full Time,https://aitouch.in/,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
9,1,virtusa consulting services pvt. ltd.,"##  Machine Learning Engineer - CREQ179581**Description**- Proven experience as a Machine Learning Engineer ,  Data Scientist ,  or related role.- Strong programming skills in...","machinelearningtools, mlops, pythonprogramming, tensorflow, statisticalanalysis, effectivecommunication, jobposting",Chennai,5 - 7 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/machine-learning-engineer-virtusa-consulting-services-pvt-ltd-chennai-5-to-7-yrs-jobid-pozaZmN6gl1zpSvf__PLUS__uAgZw==&source=srp,N/A,Recruitment,"ME/ M.Tech./ MS (Engg/ Sciences)
                    
                    
                  

                    Any Graduate",Full Time,http://www.virtusa.com,"IT-Hardware/Networking,  Telecom",2-4 Lakhs,regular
